periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1994,1994-01-01,1994-12-31,260,1.010351,1.189524,1.090653,0.57867,24.0319,672.9845,25.9419,0.028946
1995,1995-01-01,1995-12-31,260,3.02436,13.450629,3.66751,0.685981,81.5299,9774.8457,98.8678,0.085973
1996,1996-01-01,1996-12-31,262,0.750466,0.72133,0.849312,0.232176,47.6729,2910.8149,53.952,0.045453
1997,1997-01-01,1997-12-31,261,1.340278,2.699762,1.643095,0.475091,135.7721,27704.9414,166.448,0.112949
1998,1998-01-01,1998-12-31,261,0.923501,1.268034,1.12607,0.245886,130.9903,25511.3965,159.7229,0.088262
1999,1999-01-01,1999-12-31,261,0.940177,1.425343,1.193877,0.248579,212.0708,72520.5859,269.2965,0.112509
2000,2000-01-01,2000-12-31,260,0.645314,0.51,0.714143,0.216999,218.2775,58350.6406,241.5588,0.102151
2001,2001-01-01,2001-12-31,261,0.142976,0.025342,0.159193,0.060293,64.3875,5139.5078,71.6904,0.027808
2002,2002-01-01,2002-12-31,261,0.440204,0.363701,0.603076,0.17687,237.0195,105439.5781,324.7146,0.087331
2003,2003-01-01,2003-12-31,261,0.067539,0.006858,0.082811,0.029656,41.8606,2634.3625,51.326,0.014475
2004,2004-01-01,2004-12-31,262,0.215579,0.066368,0.25762,0.163668,154.0941,33909.0039,184.144,0.060298
2005,2005-01-01,2005-12-31,260,0.053392,0.003911,0.062537,0.064701,39.5522,2146.1687,46.3268,0.01717
2006,2006-01-01,2006-12-31,259,0.12269,0.028779,0.169644,0.12881,89.7273,15392.5,124.0665,0.036655
2007,2007-01-01,2007-12-31,257,0.228938,0.074371,0.272711,0.835955,165.5631,38895.332,197.219,0.082682
2008,2008-01-01,2008-12-31,256,0.283061,0.097975,0.31301,6.788196,199.0699,48458.2891,220.1324,0.10183
2009,2009-01-01,2009-12-31,258,0.293394,0.108414,0.329263,1.391297,200.8502,50807.8047,225.4059,0.095703
2010,2010-01-01,2010-12-31,260,0.218395,0.056639,0.23799,8.769254,146.5267,25495.7305,159.6738,0.078443
2011,2011-01-01,2011-12-31,253,0.107764,0.017575,0.13257,2.193838,70.3016,7479.4873,86.484,0.038969
2012,2012-01-01,2012-12-31,243,0.219243,0.04981,0.223181,6.199765,139.3438,20120.6113,141.8471,0.077817
2013,2013-01-01,2013-12-31,242,0.171158,0.037302,0.193138,4.967779,106.2141,14365.0098,119.8541,0.055994
2014,2014-01-01,2014-12-31,240,0.158015,0.054765,0.23402,0.938112,95.8674,20158.2266,141.9797,0.045353
2015,2015-01-01,2015-12-31,250,0.633089,0.641122,0.800701,0.350202,376.8305,227144.9531,476.5973,0.127333
2016,2016-01-01,2016-12-31,252,0.281812,0.095785,0.309491,0.154798,172.8891,36050.668,189.8701,0.057464
2017,2017-01-01,2017-12-31,233,0.095925,0.01341,0.115799,0.062705,61.8407,5573.1201,74.6533,0.021193
2018,2018-01-01,2018-12-31,244,0.198517,0.050411,0.224524,0.134644,131.2529,22036.6895,148.4476,0.044317
2019,2019-01-01,2019-12-31,251,0.171286,0.037978,0.194879,0.089256,115.7398,17340.0605,131.6817,0.034959
2020,2020-01-01,2020-12-31,244,0.586972,0.434162,0.65891,0.23928,414.2213,216213.1875,464.9873,0.109259
2021,2021-01-01,2021-12-31,246,0.424571,0.218778,0.467738,0.188434,320.936,125009.0547,353.5662,0.084126
2022,2022-01-01,2022-12-31,250,0.432627,0.289549,0.538097,0.153742,346.1593,185372.6406,430.5492,0.077647
2023,2023-01-01,2023-12-31,239,0.616798,0.503317,0.709448,0.285483,539.1267,384536.5625,620.1101,0.130557
2024,2024-01-01,2024-12-31,246,0.243056,0.09931,0.315136,0.117909,227.0188,86637.5312,294.3425,0.053696
