periodo_predicho,fecha_pred_ini,fecha_pred_fin,dias_habiles_pred,fecha_ref_ini,fecha_ref_fin,mae_normalizado,mse_normalizado,rmse_normalizado,mape_normalizado,mae_escala_pesos,mse_escala_pesos,rmse_escala_pesos,mape_escala_pesos
1995,1995-01-01,1995-12-31,260,1993-01-01,1994-12-31,3.02436,13.450629,3.66751,0.685981,81.5299,9774.8457,98.8678,0.085973
1996,1996-01-01,1996-12-31,262,1994-01-01,1995-12-31,0.808544,0.837297,0.915039,0.268971,47.6729,2910.8149,53.952,0.045453
1997,1997-01-01,1997-12-31,261,1995-01-01,1996-12-31,1.803635,4.889151,2.211143,0.737737,135.7721,27704.9414,166.448,0.112949
1998,1998-01-01,1998-12-31,261,1996-01-01,1997-12-31,1.490765,3.304262,1.817763,0.34645,130.9903,25511.3965,159.7229,0.088262
1999,1999-01-01,1999-12-31,261,1997-01-01,1998-12-31,1.243346,2.492778,1.578853,0.365546,212.0708,72520.5859,269.2965,0.112509
2000,2000-01-01,2000-12-31,260,1998-01-01,1999-12-31,1.014471,1.260395,1.122673,0.409734,218.2775,58350.6406,241.5588,0.102151
2001,2001-01-01,2001-12-31,261,1999-01-01,2000-12-31,0.296795,0.109203,0.330458,0.165429,64.3875,5139.5078,71.6904,0.027808
2002,2002-01-01,2002-12-31,261,2000-01-01,2001-12-31,1.828192,6.273052,2.504606,0.550158,237.0195,105439.5781,324.7146,0.087331
2003,2003-01-01,2003-12-31,261,2001-01-01,2002-12-31,0.216684,0.070586,0.265681,0.087194,41.8606,2634.3625,51.326,0.014475
2004,2004-01-01,2004-12-31,262,2002-01-01,2003-12-31,0.625033,0.557891,0.746921,4.330219,154.0941,33909.0039,184.144,0.060298
2005,2005-01-01,2005-12-31,260,2003-01-01,2004-12-31,0.266408,0.097368,0.312038,0.088889,39.5522,2146.1687,46.3268,0.01717
2006,2006-01-01,2006-12-31,259,2004-01-01,2005-12-31,0.52842,0.533849,0.73065,2.458813,89.7273,15392.5,124.0665,0.036655
2007,2007-01-01,2007-12-31,257,2005-01-01,2006-12-31,2.162089,6.633117,2.575484,0.533939,165.5631,38895.332,197.219,0.082682
2008,2008-01-01,2008-12-31,256,2006-01-01,2007-12-31,1.127842,1.55544,1.247173,2.000847,199.0699,48458.2891,220.1324,0.10183
2009,2009-01-01,2009-12-31,258,2007-01-01,2008-12-31,1.12666,1.598715,1.264403,12.592225,200.8502,50807.8047,225.4059,0.095703
2010,2010-01-01,2010-12-31,260,2008-01-01,2009-12-31,0.63913,0.485079,0.696476,0.86192,146.5267,25495.7305,159.6738,0.078443
2011,2011-01-01,2011-12-31,253,2009-01-01,2010-12-31,0.354008,0.189657,0.435496,0.351145,70.3016,7479.4873,86.484,0.038969
2012,2012-01-01,2012-12-31,243,2010-01-01,2011-12-31,2.075753,4.464952,2.113043,1.953837,139.3438,20120.6113,141.8471,0.077817
2013,2013-01-01,2013-12-31,242,2011-01-01,2012-12-31,1.993893,5.062273,2.249949,14.141997,106.2141,14365.0098,119.8541,0.055994
2014,2014-01-01,2014-12-31,240,2012-01-01,2013-12-31,1.689519,6.260897,2.502178,0.800367,95.8674,20158.2266,141.9797,0.045353
2015,2015-01-01,2015-12-31,250,2013-01-01,2014-12-31,3.145599,15.827697,3.978404,0.385379,376.8305,227144.9531,476.5973,0.127333
2016,2016-01-01,2016-12-31,252,2014-01-01,2015-12-31,0.393841,0.187077,0.432524,0.2862,172.8891,36050.668,189.8701,0.057464
2017,2017-01-01,2017-12-31,233,2015-01-01,2016-12-31,0.224315,0.073328,0.270791,5.378245,61.8407,5573.1201,74.6533,0.021193
2018,2018-01-01,2018-12-31,244,2016-01-01,2017-12-31,1.067564,1.457863,1.20742,1.461712,131.2529,22036.6895,148.4476,0.044317
2019,2019-01-01,2019-12-31,251,2017-01-01,2018-12-31,1.041931,1.40528,1.185445,0.401503,115.7398,17340.0605,131.6817,0.034959
2020,2020-01-01,2020-12-31,244,2018-01-01,2019-12-31,1.949975,4.791546,2.18896,0.669003,414.2213,216213.1875,464.9873,0.109259
2021,2021-01-01,2021-12-31,246,2019-01-01,2020-12-31,1.195019,1.733222,1.316519,2.280461,320.936,125009.0547,353.5662,0.084126
2022,2022-01-01,2022-12-31,250,2020-01-01,2021-12-31,1.86116,5.358719,2.314891,3.956848,346.1593,185372.7188,430.5493,0.077647
2023,2023-01-01,2023-12-31,239,2021-01-01,2022-12-31,1.378181,2.512859,1.5852,10.32918,539.1267,384536.5625,620.1101,0.130557
2024,2024-01-01,2024-12-31,246,2022-01-01,2023-12-31,0.634996,0.677836,0.823308,2.862471,227.0188,86637.5312,294.3425,0.053696
