inicio_periodo_predicho,mae_normalizado,mse_normalizado,mape_normalizado,rmse_normalizado,mae_escala_pesos,mse_escala_pesos,mape_escala_pesos,rmse_escala_pesos
2002-08,0.496206,0.264738,0.199642,0.514527,287.5645,88912.5781,0.100009,298.1821
2003-08,0.29484,0.108554,0.186519,0.329475,198.7357,49320.1562,0.073373,222.0814
2004-08,0.371411,0.161326,0.475912,0.401653,255.9185,76594.2891,0.107642,276.7567
2005-07,0.110337,0.022048,0.186416,0.148487,69.7813,8818.8242,0.029148,93.9086
2006-07,0.494639,0.326588,7.471435,0.571479,273.5706,99899.1875,0.128339,316.0683
2007-07,0.237469,0.090488,0.534706,0.300813,104.0968,17388.1504,0.055523,131.8641
2008-06,1.294263,2.077492,9.707909,1.441351,459.6908,262075.3438,0.199063,511.933
2009-06,0.744312,0.606117,0.600332,0.778535,222.3135,54072.6992,0.113505,232.5354
2010-06,0.313506,0.120737,0.190936,0.347472,95.0373,11095.2617,0.05192,105.334
2011-06,0.160215,0.039293,0.128416,0.198223,53.7662,4425.104,0.028943,66.5215
2012-06,0.090788,0.016994,0.084127,0.130363,32.8091,2219.4216,0.017808,47.1107
2013-06,0.221278,0.077894,0.492653,0.279094,69.7471,7738.9058,0.035415,87.9711
2014-07,1.703096,4.033226,4.700167,2.008289,411.2566,235179.7344,0.167708,484.9533
2015-07,2.073902,4.745394,0.463454,2.178393,493.1385,268308.0,0.15807,517.9846
2016-07,0.180508,0.045313,0.084558,0.212869,70.3445,6881.6885,0.023811,82.9559
2017-07,0.255888,0.08644,0.176994,0.294007,118.5107,18540.7812,0.041398,136.1645
2018-08,0.541474,0.342541,0.288586,0.58527,270.2557,85330.9766,0.083663,292.1147
2019-09,0.367211,0.242155,0.152739,0.492092,206.716,76737.9844,0.054841,277.0162
2020-09,0.201875,0.063556,0.126551,0.252103,131.8912,27128.3086,0.036648,164.7067
2021-09,0.286116,0.155575,0.137433,0.39443,197.9206,74445.4297,0.047139,272.8469
2022-09,0.433373,0.24647,0.22358,0.496458,311.7785,127565.5,0.070657,357.1631
2023-10,0.193783,0.053488,0.204597,0.231274,146.0851,30397.0957,0.03704,174.3476
2024-10,0.208886,0.063219,0.202136,0.251434,136.142,26854.1328,0.032774,163.8723
